Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
3021,Text,2002-01-01,A Boy's Will,en,"Frost, Robert, 1874-1963",American poetry -- 20th century,PS,Category: Poetry; Category: American Literature
3022,Text,2002-01-01,A Cumberland Vendetta,en,"Fox, John, Jr., 1862-1919",Vendetta -- Fiction; Mountain life -- Fiction; Cumberland Mountains -- Fiction,PS,Category: Historical Novels; Category: Novels; Category: American Literature
3023,Text,2002-01-01,Faust — Part 1,en,"Goethe, Johann Wolfgang von, 1749-1832","German poetry -- Translations into English; Legends -- Germany -- Drama; Faust, -approximately 1540 -- Drama; Magicians -- Drama",PT,Best Books Ever Listings; Harvard Classics; Category: Plays/Films/Dramas; Category: Classics of Literature; Category: German Literature
3024,Text,2002-01-01,The Last Stetson,en,"Fox, John, Jr., 1862-1919",Kentucky -- Fiction; Vendetta -- Fiction; Mountain life -- Fiction; Cumberland Mountains -- Fiction,PS,Category: Novels; Category: American Literature
3025,Text,2002-01-01,A Mountain Europa,en,"Fox, John, Jr., 1862-1919",Kentucky -- Fiction,PS,Category: Romance; Category: Adventure; Category: Novels; Category: American Literature
3026,Text,2002-01-01,North of Boston,en,"Frost, Robert, 1874-1963",American poetry -- 20th century,PS,Category: Poetry; Category: American Literature
3027,Text,2002-01-01,The Orange Fairy Book,en,"Lang, Andrew, 1844-1912",Fairy tales; Folklore,PZ,"Children's Literature; Category: Children & Young Adult Reading; Category: Mythology, Legends & Folklore"
3028,Text,2002-01-01,The Peterkin papers,en,"Hale, Lucretia P. (Lucretia Peabody), 1820-1900",Humorous stories; Family life -- Juvenile fiction,PZ; PS,Category: Short Stories; Category: Children & Young Adult Reading; Category: Humour; Category: American Literature
3029,Text,2002-01-01,Real Soldiers of Fortune,en,"Davis, Richard Harding, 1864-1916","Soldiers of fortune; MacIver, Henry Ronald; Harden-Hickey, James Aloysius, 1854-1898; Churchill, Winston, 1874-1965; McGiffin, Philo Norton, 1863-1897; Walker, William, 1824-1860",CT,Biographies; Category: Biographies; Category: Adventure; Category: History - Warfare
3030,Text,2002-01-01,The tavern knight,en,"Sabatini, Rafael, 1875-1950","Historical fiction; Adventure stories; Great Britain -- History -- Charles I, 1625-1649 -- Fiction",PR,Category: Historical Novels; Category: Adventure; Category: British Literature
3031,Text,2002-01-01,Wild Animals I Have Known,en,"Seton, Ernest Thompson, 1860-1946",Animals -- Biography; Animals -- Anecdotes,QL,Canada; Children's Instructional Books; Category: Short Stories; Category: American Literature; Category: Nature/Gardening/Animals
3032,Text,2002-01-01,The Fathers of the Constitution: A Chronicle of the Establishment of the Union,en,"Farrand, Max, 1869-1945; Johnson, Allen, 1870-1931 [Editor]","Constitutional history -- United States; United States -- History -- Confederation, 1783-1789; United States -- Politics and government -- 1783-1789",E300,United States; Children's History; Category: History - Other; Category: History - American; Category: History - Modern (1750+)
3033,Text,2002-01-01,The Passing of the Frontier: A Chronicle of the Old West,en,"Hough, Emerson, 1857-1923",West (U.S.) -- History; Frontier and pioneer life -- West (U.S.),E151; F590.3,Category: History - Other; Category: History - American
3034,Text,2002-01-01,The Anti-Slavery Crusade: A Chronicle of the Gathering Storm,en,"Macy, Jesse, 1842-1919",Antislavery movements -- United States,E300,United States; Children's History; Category: History - American; Category: History - Modern (1750+); Category: History - Religious
3035,Text,2002-01-01,The Day of the Confederacy: A Chronicle of the Embattled South,en,"Stephenson, Nathaniel W. (Nathaniel Wright), 1867-1935",Confederate States of America -- History,E456,United States; US Civil War; Children's History; Category: History - American; Category: History - Warfare
3036,Text,2002-01-01,The Railroad Builders: A Chronicle of the Welding of the States,en,"Moody, John, 1868-1958",Railroads -- United States -- History,E151; HE,United States; Children's History; Category: History - American; Category: History - Modern (1750+); Category: History - Warfare
3037,Text,2002-01-01,The Age of Big Business: A Chronicle of the Captains of Industry,en,"Hendrick, Burton Jesse, 1870-1949",Industries -- United States -- History; Big business -- United States -- History,E151; HC,United States; Children's History; Category: History - American; Category: History - Modern (1750+); Category: Business/Management
3038,Text,2002-01-01,The Armies of Labor: A Chronicle of the Organized Wage-Earners,en,"Orth, Samuel Peter, 1873-1922",Labor unions -- United States -- History,E151; HD,United States; Children's History; Category: History - American; Category: History - Modern (1750+); Category: Sociology
3039,Text,2002-01-01,Forty-Two Poems,en,"Flecker, James Elroy, 1884-1915",English poetry,PR,Category: Poetry
3040,Text,2002-01-01,The Boss and the Machine: A Chronicle of the Politicians and Party Organization,en,"Orth, Samuel Peter, 1873-1922",United States -- Politics and government; Political parties -- United States,E151,United States; Children's History; Category: History - American; Category: Politics
3041,Text,2002-01-01,The Cleveland Era: A Chronicle of the New Order in Politics,en,"Ford, Henry Jones, 1851-1925","United States -- Politics and government -- 1885-1889; United States -- Politics and government -- 1893-1897; Cleveland, Grover, 1837-1908",E660,United States; Children's History; Category: History - American; Category: History - Modern (1750+); Category: Politics
3042,Text,2002-01-01,The Hispanic Nations of the New World: A Chronicle of Our Southern Neighbors,en,"Shepherd, William R. (William Robert), 1871-1934",America; Latin America -- History,F1401,United States; Children's History; Category: History - Other; Category: History - European; Category: History - Modern (1750+)
3043,Text,2002-01-01,The Quaker Colonies: A Chronicle of the Proprietors of the Delaware,en,"Fisher, Sydney George, 1856-1927; Johnson, Allen, 1870-1931 [Editor]","Pennsylvania -- History -- Colonial period, ca. 1600-1775; New Jersey -- History -- Colonial period, ca. 1600-1775; Delaware -- History -- Colonial period, ca. 1600-1775",E186,United States; Children's History; Category: History - American; Category: History - Religious
3044,Text,2004-10-02,Desperate Remedies,en,"Hardy, Thomas, 1840-1928",Young women -- Fiction; Love stories; Wessex (England) -- Fiction; Lady's maids -- Fiction,PR,Category: Romance; Category: Novels; Category: British Literature
3045,Text,2002-01-01,The Last Chronicle of Barset,en,"Trollope, Anthony, 1815-1882",England -- Social life and customs -- 19th century -- Fiction; Clergy -- England -- Fiction; Psychological fiction; Love stories; Domestic fiction; Clergy -- Fiction; Barsetshire (England : Imaginary place) -- Fiction,PR,Category: Novels; Category: British Literature
3046,Text,2002-01-01,The Land of the Changing Sun,en,"Harben, Will N. (Will Nathaniel), 1858-1919",Science fiction,PS,Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: American Literature
3047,Text,2002-01-01,"Life's Little Ironies
A set of tales with some colloquial sketches entitled A Few Crusted Characters",en,"Hardy, Thomas, 1840-1928","Wessex (England) -- Fiction; Short stories, English",PR,Category: Short Stories; Category: British Literature
3048,Text,2002-01-01,The Little Duke: Richard the Fearless,en,"Yonge, Charlotte M. (Charlotte Mary), 1823-1901","Richard I, Duke of Normandy, approximately 932-996 -- Juvenile fiction",PZ,Historical Fiction; Category: Historical Novels; Category: Children & Young Adult Reading; Category: British Literature
3049,Text,2002-01-01,A Group of Noble Dames,en,"Hardy, Thomas, 1840-1928",Wessex (England) -- Fiction; Nobility -- Great Britain -- Fiction; Women -- England -- Fiction,PR,Category: Short Stories; Category: Novels; Category: British Literature
3050,Text,2002-01-01,Notes of a War Correspondent,en,"Davis, Richard Harding, 1864-1916; Remington, Frederic, 1861-1909 [Illustrator]","Davis, Richard Harding, 1864-1916; Military history, Modern; Spanish-American War, 1898; South African War, 1899-1902; Greco-Turkish War, 1897; Cuba -- History -- Revolution, 1895-1898; Russo-Japanese War, 1904-1905",D,Boer War; Spanish American War; Category: History - Modern (1750+); Category: History - Warfare; Category: Journalism/Media/Writing
3051,Text,2002-02-01,An Open-Eyed Conspiracy; An Idyl of Saratoga,en,"Howells, William Dean, 1837-1920",New York (State) -- Fiction; Saratoga Springs (N.Y.) -- Fiction; Saratoga (N.Y.) -- Fiction,PS,Category: Novels; Category: American Literature
3052,Text,2002-02-01,Complete Works of Plutarch — Volume 3: Essays and Miscellanies,en,"Plutarch, 46-120?",Classical literature; Essays; Philosophy; Ethics; Homer,PA,"Category: Essays, Letters & Speeches; Category: Classics of Literature; Category: Philosophy & Ethics"
3053,Text,2002-02-01,Signs of Change,en,"Morris, William, 1834-1896",Socialism; Art; Socialism -- Great Britain,HX,"Category: Essays, Letters & Speeches; Category: Politics"
3054,Text,2002-02-01,Volcanic Islands,en,"Darwin, Charles, 1809-1882",Beagle Expedition (1831-1836); Volcanoes; Geology -- South America,QE,Category: Science - Earth/Agricultural/Farming; Category: Environmental Issues
3055,Text,2002-02-01,The Wood Beyond the World,en,"Morris, William, 1834-1896",Fantasy fiction,PR,Fantasy; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: British Literature
3056,Text,2002-02-01,Wessex Tales,en,"Hardy, Thomas, 1840-1928",England -- Social life and customs -- 19th century -- Fiction; Wessex (England) -- Fiction,PR,Category: Short Stories; Category: British Literature
3057,Text,2002-02-01,The Common Edition: New Testament,en,"Clontz, T. E. (Timothy E.), 1964- [Translator]",Bible. New Testament,BS,Category: Religion/Spirituality
3058,Text,2002-02-01,"A Changed Man, and Other Tales",en,"Hardy, Thomas, 1840-1928",Wessex (England) -- Fiction,PR,Category: Short Stories; Category: British Literature
3059,Text,2002-02-01,The Iliad,en,"Homer, 751? BCE-651? BCE; Lang, Andrew, 1844-1912 [Translator]; Leaf, Walter, 1852-1927 [Translator]; Myers, Ernest, 1844-1921 [Translator]","Epic poetry, Greek -- Translations into English; Achilles (Mythological character); Trojan War",PA,"Classical Antiquity; Category: Poetry; Category: Mythology, Legends & Folklore; Category: Classics of Literature"
3060,Text,2002-02-01,Römische Geschichte — Buch 1,de,"Mommsen, Theodor, 1817-1903",Rome -- History,DG,DE Sachbuch; Category: History - European; Category: History - Ancient; Nobel Prizes in Literature
3061,Text,2002-02-01,Römische Geschichte — Buch 2,de,"Mommsen, Theodor, 1817-1903",Rome -- History,DG,DE Sachbuch; Category: History - Ancient; Nobel Prizes in Literature
3062,Text,2002-02-01,Römische Geschichte — Buch 3,de,"Mommsen, Theodor, 1817-1903",Rome -- History,DG,DE Sachbuch; Category: History - European; Category: History - Ancient; Nobel Prizes in Literature
3063,Text,2002-02-01,Römische Geschichte — Buch 4,de,"Mommsen, Theodor, 1817-1903",Rome -- History,DG,DE Sachbuch; Category: History - European; Category: History - Ancient; Nobel Prizes in Literature
3064,Text,2002-02-01,Römische Geschichte — Buch 5,de,"Mommsen, Theodor, 1817-1903",Rome -- History,DG,DE Sachbuch; Category: History - Ancient; Nobel Prizes in Literature
3065,Text,2002-02-01,Römische Geschichte — Buch 8,de,"Mommsen, Theodor, 1817-1903",Rome -- History,DG,DE Sachbuch; Category: History - European; Category: History - Ancient; Category: History - Warfare; Nobel Prizes in Literature
3066,Text,2002-02-01,The Red Man's Continent: A Chronicle of Aboriginal America,en,"Huntington, Ellsworth, 1876-1947; Johnson, Allen, 1870-1931 [Editor]",Indians of North America; Human geography -- North America; Physical geography -- North America,E151; GF,United States; Children's History; Native America; Category: History - American
3067,Text,2002-02-01,Hard Cash,en,"Reade, Charles, 1814-1884",English fiction -- 19th century,PR,Category: Novels; Category: British Literature
3068,Text,2002-02-01,Washington Square Plays,en,"Beach, Lewis, 1891-1947; Gerstenberg, Alice, 1885-1972; Goodman, Edward, 1888-1962; Moeller, Philip, 1880-1958; Eaton, Walter Prichard, 1878-1957 [Author of introduction, etc.]",One-act plays; American drama,PS,One Act Plays; Category: Plays/Films/Dramas; Category: American Literature
3069,Text,2002-02-01,The Great Boer War,en,"Doyle, Arthur Conan, 1859-1930","South African War, 1899-1902",DT,Boer War; Category: History - British; Category: History - European; Category: History - Modern (1750+); Category: History - Warfare
3070,Text,2002-02-01,The Hound of the Baskervilles,en,"Doyle, Arthur Conan, 1859-1930","Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Dogs -- Fiction; Detective and mystery stories; Blessing and cursing -- Fiction; Dartmoor (England) -- Fiction",PR,"Bestsellers, American, 1895-1923; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature"
3071,Text,2002-02-01,"The Golden Slipper, and Other Problems for Violet Strange",en,"Green, Anna Katharine, 1846-1935","Detective and mystery stories, American",PS,"Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: American Literature"
3072,Text,2004-06-01,Andersonville: A Story of Rebel Military Prisons,en,"McElroy, John, 1846-1929","Andersonville Prison; Confederate States of America. Army -- Prisons; Military prisons; United States -- History -- Civil War, 1861-1865 -- Prisoners and prisons",E456,US Civil War; Category: Biographies; Category: History - American; Category: History - Warfare
3073,Text,2002-02-01,Pioneers of the Old Southwest: a chronicle of the dark and bloody ground,en,"Skinner, Constance Lindsay, 1882-1939; Johnson, Allen, 1870-1931 [Editor]","Boone, Daniel, 1734-1820; Kentucky -- History -- To 1792; Southwest, Old -- History; Tennessee -- History; Frontier and pioneer life -- Southwest, Old",F396,United States; Children's History; Category: History - American
3074,Text,2002-02-01,The Burgess Bird Book for Children,en,"Burgess, Thornton W. (Thornton Waldo), 1874-1965",Birds -- Juvenile literature,QL,Category: Children & Young Adult Reading; Category: Nature/Gardening/Animals
3075,Text,2002-02-01,The Return,en,"De la Mare, Walter, 1873-1956",Fantasy fiction; Supernatural -- Fiction; Horror tales; Paranormal fiction,PR,Category: Novels; Category: British Literature
3076,Text,2002-02-01,Ten Days That Shook the World,en,"Reed, John, 1887-1920","Soviet Union -- History -- Revolution, 1917-1921; Communism -- Soviet Union",DK,Category: History - Other; Category: History - European; Category: History - Modern (1750+); Category: History - Warfare
3077,Text,2004-10-03,Original Short Stories — Volume 01,en,"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]","Short stories, French -- Translations into English",PQ,Category: Short Stories; Category: French Literature
3078,Text,2004-10-03,Original Short Stories — Volume 02,en,"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]","Short stories, French -- Translations into English",PQ,Category: Short Stories; Category: French Literature
3079,Text,2004-10-03,Original Short Stories — Volume 03,en,"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]","Short stories, French -- Translations into English",PQ,Category: Short Stories; Category: French Literature
3080,Text,2004-10-03,Original Short Stories — Volume 04,en,"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]","Short stories, French -- Translations into English",PQ,Category: Short Stories; Category: French Literature
3081,Text,2004-10-03,Original Short Stories — Volume 05,en,"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]","Short stories, French -- Translations into English",PQ,Category: Short Stories; Category: French Literature
3082,Text,2004-10-03,Original Short Stories — Volume 06,en,"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]","Short stories, French -- Translations into English",PQ,Category: Short Stories; Category: French Literature
3083,Text,2004-10-03,Original Short Stories — Volume 07,en,"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]","Short stories, French -- Translations into English",PQ,Category: Short Stories; Category: French Literature
3084,Text,2004-10-03,Original Short Stories — Volume 08,en,"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]","Short stories, French -- Translations into English",PQ,Category: Short Stories; Category: French Literature
3085,Text,2004-10-03,Original Short Stories — Volume 09,en,"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]","Short stories, French -- Translations into English",PQ,Category: Short Stories; Category: French Literature
3086,Text,2004-10-03,Original Short Stories — Volume 10,en,"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]","Short stories, French -- Translations into English",PQ,Category: Short Stories; Category: French Literature
3087,Text,2004-10-03,Original Short Stories — Volume 11,en,"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]","Short stories, French -- Translations into English",PQ,Category: Short Stories; Category: French Literature
3088,Text,2004-10-03,Original Short Stories — Volume 12,en,"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]","Short stories, French -- Translations into English",PQ,Category: Short Stories; Category: French Literature
3089,Text,2004-10-04,Original Short Stories — Volume 13,en,"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]","Short stories, French -- Translations into English",PQ,Category: Short Stories; Category: French Literature
3090,Text,2004-10-02,Complete Original Short Stories of Guy De Maupassant,en,"Maupassant, Guy de, 1850-1893; Henderson, A. E. [Translator]; McMaster, Albert Cohn [Translator]; Quesada, Louise Charlotte Garstin, 1864?- [Translator]","Short stories, French -- Translations into English; French fiction -- Translations into English",PQ,Category: Short Stories; Category: French Literature
3091,Text,2002-02-01,The Giant Raft,en,"Verne, Jules, 1828-1905",Adventure and adventurers -- Fiction; Voyages and travels -- Fiction; Brazil -- Social life and customs -- Fiction; Peru -- Social life and customs -- Fiction; Rafts -- Fiction; Amazon River -- Fiction,PQ,Category: Adventure; Category: Novels; Category: Classics of Literature
3092,Text,2002-02-01,The Conquest of New France; A Chronicle of the Colonial Wars,en,"Wrong, George McKinnon, 1860-1948; Johnson, Allen, 1870-1931 [Editor]","United States -- History -- Colonial period, ca. 1600-1775; Canada -- History -- To 1763 (New France); United States -- History -- French and Indian War, 1754-1763; United States -- History -- Queen Anne's War, 1702-1713; United States -- History -- King William's War, 1689-1697; United States -- History -- King George's War, 1744-1748",E186,United States; Children's History; Category: History - American; Category: History - European; Category: History - Modern (1750+); Category: History - Warfare
3093,Text,2002-02-01,The Eve of the Revolution; A Chronicle of the Breach with England,en,"Becker, Carl L. (Carl Lotus), 1873-1945; Johnson, Allen, 1870-1931 [Editor]","United States -- Politics and government -- 1775-1783; United States -- History -- Revolution, 1775-1783",E201,United States; Children's History; Category: Biographies; Category: History - American; Category: History - British; Category: History - Modern (1750+)
3094,Text,2006-04-06,Red Eve,en,"Haggard, H. Rider (Henry Rider), 1856-1925",Middle Ages -- Fiction; Great Britain -- History -- 14th century -- Fiction; Europe -- History -- 14th century -- Fiction,PR,Category: Historical Novels; Category: Novels; Category: British Literature
3095,Text,2002-02-01,The Lady of the Shroud,en,"Stoker, Bram, 1847-1912","Horror tales; Imaginary places -- Europe, Eastern -- Fiction",PR,Horror; Category: Novels
3096,Text,2006-04-06,Beatrice,en,"Haggard, H. Rider (Henry Rider), 1856-1925",English fiction,PR,Category: Romance; Category: Novels; Category: British Literature
3097,Text,2006-04-06,The Wanderer's Necklace,en,"Haggard, H. Rider (Henry Rider), 1856-1925",Adventure stories; Reincarnation -- Fiction; Istanbul (Turkey) -- Fiction; Jutland (Denmark) -- Fiction,PR,Category: Historical Novels; Category: Adventure
3098,Text,2002-02-01,"The Paths of Inland Commerce; A Chronicle of Trail, Road, and Waterway",en,"Hulbert, Archer Butler, 1873-1933",Transportation -- United States -- History,E151; HE,United States; Children's History; Category: History - American
3099,Text,2002-02-01,The Old Merchant Marine: A Chronicle of American Ships and Sailors,en,"Paine, Ralph Delahaye, 1871-1925",Merchant marine -- United States -- History,HE,United States; Children's History; Category: Adventure; Category: History - American; Category: History - Early Modern (c. 1450-1750); Category: History - Modern (1750+)
3100,Text,2002-02-01,"The Chinese Classics: with a translation, critical and exegetical notes, prolegomena and copious indexes
(Shih ching. English) — Volume 1",en; zh,"Legge, James, 1815-1897",China -- History; Chinese literature -- Translations into English; Chinese literature,PL,Banned Books from Anne Haight's list; Category: Classics of Literature; Category: Philosophy & Ethics; Category: Religion/Spirituality
3101,Text,2004-10-10,Washington Irving,en,"Warner, Charles Dudley, 1829-1900","Irving, Washington, 1783-1859; Authors, American -- 19th century -- Biography",PS,Category: Biographies; Category: American Literature
3102,Text,2004-10-10,Their Pilgrimage,en,"Warner, Charles Dudley, 1829-1900",Atlantic Coast (U.S.) -- Description and travel -- Fiction,PS,Category: Novels; Category: American Literature
3103,Text,2004-10-10,A Little Journey in the World,en,"Warner, Charles Dudley, 1829-1900",American fiction -- 19th century,PS,Category: Novels; Category: American Literature; Category: Gender & Sexuality Studies
3104,Text,2004-10-10,The Golden House,en,"Warner, Charles Dudley, 1829-1900",American fiction -- 19th century,PS,Category: Novels; Category: American Literature
3105,Text,2004-10-10,That Fortune,en,"Warner, Charles Dudley, 1829-1900",American fiction -- 19th century,PS,Category: Children & Young Adult Reading; Category: Novels; Category: American Literature
3106,Text,2004-12-05,As We Were Saying,en,"Warner, Charles Dudley, 1829-1900",Essays,PS,"Category: Essays, Letters & Speeches"
3107,Text,2004-12-05,As We Go,en,"Warner, Charles Dudley, 1829-1900",Essays,PS,"Category: Essays, Letters & Speeches; Category: American Literature"
3108,Text,2004-12-05,Nine Short Essays,en,"Warner, Charles Dudley, 1829-1900",Essays,PS,"Category: Essays, Letters & Speeches; Category: American Literature"
3109,Text,2004-12-05,Fashions in Literature,en,"Warner, Charles Dudley, 1829-1900",Literature,PS,"Category: Essays, Letters & Speeches; Category: Journalism/Media/Writing"
3110,Text,2004-12-05,The American Newspaper,en,"Warner, Charles Dudley, 1829-1900",Essays; Mass media,PS,"Category: Essays, Letters & Speeches; Category: American Literature; Category: Journalism/Media/Writing"
3111,Text,2004-12-05,Certain Diversities of American Life,en,"Warner, Charles Dudley, 1829-1900",Essays,PS,"Category: Essays, Letters & Speeches; Category: History - American; Category: Sociology"
3112,Text,2004-12-05,"The Pilgrim, and the American of Today—(1892)",en,"Warner, Charles Dudley, 1829-1900",Essays,PS,"Category: Essays, Letters & Speeches; Category: History - American"
3113,Text,2004-12-05,Some Causes of the Prevailing Discontent,en,"Warner, Charles Dudley, 1829-1900",Essays,PS,"Category: Essays, Letters & Speeches; Category: Philosophy & Ethics; Category: Sociology; Category: Politics"
3114,Text,2004-12-05,The Education of the Negro,en,"Warner, Charles Dudley, 1829-1900",African Americans -- Education; United States -- Race relations,PS,Category: History - American; Category: Sociology; Category: Teaching & Education
3115,Text,2004-12-05,The Indeterminate Sentence: What Shall Be Done with the Criminal Class?,en,"Warner, Charles Dudley, 1829-1900",Indeterminate sentences -- United States,PS,Category: Law & Criminology; Category: Sociology
3116,Text,2004-12-05,Literary Copyright,en,"Warner, Charles Dudley, 1829-1900",Copyright,PS,"Category: Essays, Letters & Speeches; Category: Law & Criminology"
3117,Text,2004-12-05,The Relation of Literature to Life,en,"Warner, Charles Dudley, 1829-1900",Literature,PS,"Category: Essays, Letters & Speeches; Category: Philosophy & Ethics"
3118,Text,2004-12-05,Equality,en,"Warner, Charles Dudley, 1829-1900",Essays,PS,"Category: Essays, Letters & Speeches; Category: American Literature; Category: Philosophy & Ethics; Category: Politics"
3119,Text,2004-12-05,What Is Your Culture to Me?,en,"Warner, Charles Dudley, 1829-1900",Essays,PS,"Category: Essays, Letters & Speeches; Category: American Literature"
3120,Text,2004-12-05,Modern Fiction,en,"Warner, Charles Dudley, 1829-1900",Literature,PS,"Category: Essays, Letters & Speeches"
3121,Text,2004-12-05,"Thoughts Suggested by Mr. Froude's ""Progress""",en,"Warner, Charles Dudley, 1829-1900",Essays,PS,"Category: Essays, Letters & Speeches"
3122,Text,2004-12-05,England,en,"Warner, Charles Dudley, 1829-1900",England,PS,United Kingdom; Category: History - British; Category: History - European; Category: History - Modern (1750+)
3123,Text,2004-12-05,The Novel and the Common School,en,"Warner, Charles Dudley, 1829-1900",Education -- United States,PS,"Category: Essays, Letters & Speeches; Category: American Literature; Category: Teaching & Education"
3124,Text,2004-12-05,The People for Whom Shakespeare Wrote,en,"Warner, Charles Dudley, 1829-1900","England -- Social life and customs -- 16th century; Shakespeare, William, 1564-1616 -- Contemporaries",PR,Category: History - British; Category: History - Early Modern (c. 1450-1750)
3125,Text,2004-10-11,The Complete Essays of Charles Dudley Warner,en,"Warner, Charles Dudley, 1829-1900",Essays,PS,"Category: Essays, Letters & Speeches"
3126,Text,2004-10-10,On Horseback,en,"Warner, Charles Dudley, 1829-1900","California -- Description and travel; Virginia -- Description and travel; North Carolina -- Description and travel; Tennessee -- Description and travel; Mexico -- Description and travel; Warner, Charles Dudley, 1829-1900 -- Travel -- Southern States; Appalachian Region -- Description and travel; Warner, Charles Dudley, 1829-1900 -- Travel -- Appalachian Region; Warner, Charles Dudley, 1829-1900 -- Travel -- Mexico",F206,Category: Humour; Category: Travel Writing; Category: American Literature
3127,Text,2004-10-10,Being a Boy,en,"Warner, Charles Dudley, 1829-1900",Autobiographies; Country life; Boys -- Biography; New England,CT; PS,Category: Children & Young Adult Reading; Category: Humour; Category: Novels; Category: American Literature
3128,Text,2004-10-10,Saunterings,en,"Warner, Charles Dudley, 1829-1900",Italy -- Description and travel; Germany -- Description and travel; France -- Description and travel; Belgium -- Description and travel; Europe -- Description and travel; Switzerland -- Description and travel,D; PS,"Category: Essays, Letters & Speeches; Category: Travel Writing; Category: American Literature"
3129,Text,2004-10-10,The Story of Pocahontas,en,"Warner, Charles Dudley, 1829-1900","Pocahontas, -1617; Powhatan women -- Biography; Powhatan Indians -- Biography",F206,Category: Biographies; Category: History - American
3130,Text,2004-10-10,Captain John Smith,en,"Warner, Charles Dudley, 1829-1900","Smith, John, 1580-1631",F206,Category: Biographies; Category: History - American
3131,Text,2004-10-10,How Spring Came in New England,en,"Warner, Charles Dudley, 1829-1900",Spring; Adirondack Mountains (N.Y.) -- Description and travel; New England -- Climate,PS,"Category: Humour; Category: Essays, Letters & Speeches; Category: American Literature"
3132,Text,2004-10-10,In the Wilderness,en,"Warner, Charles Dudley, 1829-1900","Adirondack Mountains (N.Y.) -- Description and travel; Authors, American -- 19th century -- Biography; Warner, Charles Dudley, 1829-1900 -- Homes and haunts -- New York (State) -- Adirondack Mountains; Wilderness areas -- New York (State) -- Adirondack Mountains; Natural history -- New York (State) -- Adirondack Mountains; Adirondack Mountains (N.Y.) -- Intellectual life -- 19th century; Adirondack Mountains (N.Y.) -- Biography",PS,"Category: Humour; Category: Adventure; Category: Essays, Letters & Speeches; Category: American Literature; Category: Nature/Gardening/Animals"
3133,Text,2004-10-10,"Baddeck, and That Sort of Thing",en,"Warner, Charles Dudley, 1829-1900",Nova Scotia -- Description and travel; Baddeck (N.S.) -- Description and travel,F1001,Category: Humour; Category: Travel Writing
3134,Text,2004-10-10,Backlog Studies,en,"Warner, Charles Dudley, 1829-1900",Essays,PS,"Category: Essays, Letters & Speeches; Category: American Literature"
3135,Text,2004-10-10,My Summer in a Garden,en,"Warner, Charles Dudley, 1829-1900",Gardening,PS,"Horticulture; Category: Humour; Category: Essays, Letters & Speeches; Category: American Literature; Category: Nature/Gardening/Animals"
3136,Text,2004-10-11,The Complete Project Gutenberg Writings of Charles Dudley Warner,en,"Warner, Charles Dudley, 1829-1900",Literature -- Collections; American literature -- 19th century,PS,"Category: Humour; Category: Essays, Letters & Speeches; Category: Travel Writing; Category: American Literature"
3137,Text,2006-06-03,The Rise of Roscoe Paine,en,"Lincoln, Joseph Crosby, 1870-1944",Massachusetts -- Fiction; Cape Cod (Mass.) -- Fiction,PS,Category: Novels; Category: American Literature
